사용월,호선명,역ID,지하철역, 4:00, 5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00
Nov-19,2호선,228,서울대입구(관악구청),4696,30998,46497,139715,208968,138327,81970,72895,79792,86876,77374,82412,90837,104614,113368,72754,59253,60718,57620,30576,5356,6,1,0
Nov-19,2호선,229,봉천,133,17551,30852,91089,136903,83957,46892,37577,39570,41440,34152,33599,36772,38232,38421,23741,18156,16795,13032,6102,993,4,1,0
Nov-19,2호선,230,신림,374,44822,83947,233688,358290,217365,118721,99058,103579,103216,90500,88119,96785,107469,111926,75988,61822,58181,55538,32039,5949,15,0,0
Nov-19,2호선,231,신대방,155,27641,39765,100293,148082,97198,54951,43958,43762,42368,37113,35599,38547,42307,50397,29008,21022,17107,14185,6971,1356,9,0,0
Nov-19,2호선,232,구로디지털단지,266,46526,57680,154758,212010,139395,84506,72343,80144,83660,74564,77498,93355,135130,253518,132097,82373,69916,57802,28966,4732,10,0,0
Nov-19,2호선,233,대림(구로구청),717,43878,34825,77782,112586,82783,49661,41071,43498,44484,40189,41306,45999,54391,67191,36815,27139,22261,16365,8934,1166,6,0,0
Nov-19,2호선,234,신도림,3378,42260,55327,153082,167889,110937,76864,74815,86494,92966,92594,96427,105600,127522,165391,101629,85542,85197,67986,32415,3672,16,0,0
Nov-19,2호선,235,문래,9,3955,12165,46288,52425,32344,23970,24172,27464,29477,28344,30060,34485,56116,104809,41882,27653,27455,21547,10473,1704,9,0,0
Nov-19,2호선,236,영등포구청,38,6436,13836,45405,56145,36288,26857,29139,31715,33725,33271,35322,40578,56925,110818,40966,31183,31260,24193,10111,1738,7,0,0
Nov-19,2호선,237,당산,46,7455,19160,52480,71487,47413,33000,30462,31264,30432,27034,28209,34489,48812,74342,37548,25131,25169,22456,11607,1815,2,1,0
Nov-19,2호선,238,합정,168,10089,18684,47287,64136,43822,33999,35623,40848,46699,47850,52916,64443,83169,124107,82711,65198,77962,78637,41198,6855,16,0,0
Nov-19,2호선,239,홍대입구,1582,35891,36008,72030,97368,80646,73623,79907,90845,102305,109392,129243,157899,191462,221209,175936,171684,208864,232954,131475,17820,14,0,0
Nov-19,2호선,240,신촌,164,11889,16507,40303,62511,48077,47160,55497,71249,79369,80454,91143,109236,131393,133864,96568,98560,109631,119483,64174,11134,17,0,0
Nov-19,2호선,241,이대,56,3413,6915,19039,28849,21047,17840,24751,38607,41658,38940,51118,64975,75676,60711,40220,35251,38284,28473,10124,1350,3,0,0
Nov-19,2호선,242,아현,38,4752,10621,28446,41291,26333,18965,17854,19345,19367,17769,18409,26398,25666,24431,14045,10164,8570,6851,2736,486,9,0,0
Nov-19,2호선,243,충정로(경기대입구),45,4005,7428,17710,26241,18120,13896,15288,15613,17401,17501,18112,22086,28715,59464,20161,14117,13306,9373,4155,680,2,1,0
Nov-19,2호선,244,용답,31,2817,3244,8467,14186,7382,4677,4439,4783,4932,4418,4401,5208,5672,4549,2838,1927,1539,1232,597,116,0,0,0
Nov-19,2호선,245,신답,1,1121,1831,7035,11517,4852,2825,2453,2278,2309,1905,1748,2016,2200,2240,1277,739,616,622,206,29,0,0,0
