사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-02,2호선,0237,당산,41,1,"5,622","2,769","14,696","12,954","41,730","25,016","55,815","81,303","32,890","39,212","20,759","20,218","19,381","18,297","20,362","19,016","21,679","21,428","20,552","21,119","21,069","22,325","24,127","25,676","36,563","37,385","62,978","66,891","32,090","51,654","20,676","31,030","20,056","28,047","17,502","26,656","8,993","17,656","1,382","4,319",0,61,0,1,0,0,2020-03-03 12:13:59
2020-02,2호선,0238,합정,138,0,"8,165","2,677","15,032","14,891","39,080","31,825","53,435","94,017","33,932","67,894","24,154","41,109","25,182","38,082","29,401","43,393","33,530","49,797","35,462","46,822","38,827","44,698","46,425","52,045","64,175","65,433","109,169","99,916","68,813","78,565","53,947","38,670","62,266","29,986","59,994","26,379","31,959","18,446","5,105","6,747",0,138,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0239,홍대입구,980,18,"25,734","3,378","27,864","15,984","58,138","30,969","75,109","98,630","54,785","110,413","47,760","78,730","54,591","89,664","61,338","111,106","72,407","131,154","74,365","129,929","88,493","127,797","105,030","134,140","132,331","153,610","172,515","200,053","137,201","162,230","127,442","88,871","152,149","68,800","161,202","54,961","92,055","41,226","11,447","14,773",3,"1,898",1,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0240,신촌,100,6,"7,979","2,855","13,141","13,513","32,723","31,977","48,868","74,009","33,511","95,256","31,434","59,194","39,049","56,699","48,441","60,208","54,466","71,783","53,336","62,627","61,621","57,971","70,564","59,461","87,910","74,728","94,400","108,886","69,952","83,511","70,612","41,403","74,815","33,194","79,690","29,412","41,415","21,606","6,171","6,263",0,36,0,1,0,0,2020-03-03 12:13:59
2020-02,2호선,0241,이대,35,1,"2,529","1,376","5,379","12,112","15,737","11,828","22,598","29,967","14,623","30,421","11,401","24,841","13,590","20,924","20,118","23,574","22,684","25,982","21,200","24,121","24,468","22,617","32,409","22,349","39,470","23,184","34,828","30,714","24,173","23,862","18,451","14,126","17,846","12,451","14,280","11,767","5,300","9,096",672,"2,726",0,32,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0242,아현,5,1,"3,898","1,074","8,668","6,907","23,822","8,466","34,259","15,011","20,391","11,397","13,376","8,622","12,134","7,823","13,032","8,729","12,976","10,079","11,876","10,669","12,557","11,585","13,919","13,392","16,244","17,556","17,533","27,116","10,299","23,192","7,189","14,764","6,053","13,860","4,067","13,008","1,962","8,754",307,"2,573",2,6,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0243,충정로(경기대입구),7,1,"3,050",876,"6,069","5,116","15,128","14,592","21,616","63,710","14,224","30,510","10,144","13,225","10,982","9,832","10,780","9,441","12,491","11,375","12,172","10,689","12,514","10,553","14,554","11,352","21,039","13,761","51,566","21,099","17,643","16,156","10,720","10,163","10,071","9,833","7,543","9,069","3,106","6,407",540,"1,807",0,40,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0244,용답,1,0,"2,127",225,"2,759",830,"6,630","1,344","11,683","2,657","5,453","1,641","3,292","1,570","2,747","1,642","3,193","2,067","3,609","2,578","3,147","2,727","2,761","3,323","3,048","4,154","3,424","5,007","3,411","9,203","1,975","6,866","1,475","4,023","1,126","4,418",799,"4,128",563,"2,802",85,797,0,0,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0245,신답,2,0,912,65,"1,634",515,"5,650",860,"10,404","1,773","3,558",928,"1,928",875,"1,630",999,"1,693","1,234","1,758","1,420","1,512","1,487","1,567","2,169","1,442","2,667","1,706","3,429","1,987","8,671","1,055","6,984",581,"2,938",504,"3,355",412,"2,456",194,"1,844",25,485,0,1,0,0,0,0,2020-03-03 12:13:59
2020-02,2호선,0246,신설동,27,1,995,368,"1,167","1,770","2,586","5,463","5,475","14,214","3,612","9,445","3,387","6,889","4,457","6,265","5,288","5,947","5,982","6,453","6,703","6,021","7,421","5,322","8,001","4,668","10,553","4,623","14,536","5,208","5,828","4,207","3,308","2,643","2,675","2,227","2,117","1,914",773,"1,386",141,542,0,108,0,0,0,0,2020-03-03 12:13:59
