지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심신적설(cm)
268,진도군,20180120,2.1,,
268,진도군,20180121,2.9,,
268,진도군,20180122,6.3,,
268,진도군,20180123,-2.2,,
268,진도군,20180124,-6.4,0.2,
268,진도군,20180125,-5.4,,
268,진도군,20180126,-4.4,,
268,진도군,20180127,-3.9,,
268,진도군,20180128,-0.4,,
268,진도군,20180129,-1.7,0.5,
268,진도군,20180130,-2.6,0.1,
268,진도군,20180131,-0.6,,
268,진도군,20180201,0,,
268,진도군,20180202,-0.6,,
268,진도군,20180203,-1.8,0.5,
268,진도군,20180204,-2.8,0.2,
268,진도군,20180205,-3.5,5,
268,진도군,20180206,-4,1.5,
268,진도군,20180207,-3.7,0.5,
268,진도군,20180208,1.4,,
268,진도군,20180209,2.7,,
268,진도군,20180210,2.9,,
268,진도군,20180211,0.2,3,
268,진도군,20180212,0,0.3,
268,진도군,20180213,3.7,,
268,진도군,20180214,8.2,,
268,진도군,20180215,1.8,,
268,진도군,20180216,1.5,,
268,진도군,20180217,1.1,,
268,진도군,20180218,2.1,,
268,진도군,20180219,4,,
268,진도군,20180220,3.2,,
268,진도군,20180221,1.8,,
268,진도군,20180222,1.2,,
268,진도군,20180223,4.9,,
268,진도군,20180224,4.5,,
268,진도군,20180225,4.4,,
268,진도군,20180226,3.6,,
268,진도군,20180227,6.3,,
268,진도군,20180228,9.3,24.5,
268,진도군,20180301,3.9,,
268,진도군,20180302,1.8,,
268,진도군,20180303,8.4,,
268,진도군,20180304,13.9,16,
268,진도군,20180305,7.3,1,
268,진도군,20180306,6.1,,
268,진도군,20180307,6.9,15.5,
268,진도군,20180308,4,15.5,
268,진도군,20180309,3.5,,
268,진도군,20180310,2.8,,
268,진도군,20180311,4.7,,
268,진도군,20180312,7.8,,
268,진도군,20180313,13.5,,
268,진도군,20180314,16.8,,
268,진도군,20180315,12.9,34,
268,진도군,20180316,7.1,,
268,진도군,20180317,6.3,,
268,진도군,20180318,10.8,16,
268,진도군,20180319,10.8,13.5,
268,진도군,20180320,7.3,5.5,
268,진도군,20180321,2.6,9.5,
268,진도군,20180322,4.8,,
268,진도군,20180323,4.7,,
268,진도군,20180324,7.6,,
268,진도군,20180325,8.9,,
268,진도군,20180326,10.1,,
268,진도군,20180327,11.8,,
268,진도군,20180328,13.2,,
268,진도군,20180329,14.9,,
268,진도군,20180330,12.6,,
268,진도군,20180331,13.8,,
268,진도군,20180401,16.6,,
268,진도군,20180402,17.7,,
268,진도군,20180403,18.7,,
268,진도군,20180404,13.6,9,
268,진도군,20180405,13.6,13,
268,진도군,20180406,8.6,20,
268,진도군,20180407,6.4,,
268,진도군,20180408,10.3,,
268,진도군,20180409,12.4,,
268,진도군,20180410,16.8,,
268,진도군,20180411,14,0,
268,진도군,20180412,11.8,,
268,진도군,20180413,14.6,0,
268,진도군,20180414,12.2,37.5,
268,진도군,20180415,9.7,,
268,진도군,20180416,9.7,,
268,진도군,20180417,11.2,,
268,진도군,20180418,9.4,,
268,진도군,20180419,10.8,,
268,진도군,20180420,14.3,,
268,진도군,20180421,16.4,,
268,진도군,20180422,18.6,23.5,
268,진도군,20180423,15.9,49,
268,진도군,20180424,13.3,18.5,
268,진도군,20180425,13.2,0.5,
268,진도군,20180426,12.4,,
268,진도군,20180427,13.1,,
268,진도군,20180428,14.3,,
268,진도군,20180429,15,,
268,진도군,20180430,19,0,
268,진도군,20180501,19,,
268,진도군,20180502,15.6,0.3,
268,진도군,20180503,13.7,0.1,
268,진도군,20180504,14,,
268,진도군,20180505,18.5,0,
268,진도군,20180506,16.6,38,
268,진도군,20180507,17,28,
268,진도군,20180508,16.5,0.5,
268,진도군,20180509,13.7,1,
268,진도군,20180510,14.1,,
268,진도군,20180511,16.5,,
268,진도군,20180512,18.6,18,
268,진도군,20180513,14.4,0.5,
268,진도군,20180514,18.4,,
268,진도군,20180515,21.3,,
268,진도군,20180516,22.1,0.5,
268,진도군,20180517,21.5,2,
268,진도군,20180518,18.6,1,
268,진도군,20180519,16.1,1,
268,진도군,20180520,16,,
268,진도군,20180521,17.2,,
268,진도군,20180522,18.3,7.5,
268,진도군,20180523,16.5,6.5,
268,진도군,20180524,16.8,,
268,진도군,20180525,19,,
268,진도군,20180526,19.4,,
268,진도군,20180527,19.3,,
268,진도군,20180528,19.8,0.1,
268,진도군,20180529,21.4,,
268,진도군,20180530,20.3,,
268,진도군,20180531,17.5,,
268,진도군,20180601,19.3,,
268,진도군,20180602,21.7,,
268,진도군,20180603,20.6,,
268,진도군,20180604,20.6,,
268,진도군,20180605,20.1,1.5,
268,진도군,20180606,20.6,,
268,진도군,20180607,19.9,,
268,진도군,20180608,20.5,,
268,진도군,20180609,21.3,0.1,
268,진도군,20180610,20.5,2,
268,진도군,20180611,20,6.5,
268,진도군,20180612,19.8,,
268,진도군,20180613,20.3,,
268,진도군,20180614,21.4,,
268,진도군,20180615,20.9,,
268,진도군,20180616,19.4,,
268,진도군,20180617,20.3,,
268,진도군,20180618,21.6,,
268,진도군,20180619,21.1,14,
268,진도군,20180620,21.1,,
268,진도군,20180621,21.6,,
268,진도군,20180622,23,,
268,진도군,20180623,22,,
268,진도군,20180624,22.8,,
268,진도군,20180625,23.6,,
268,진도군,20180626,24.6,0.5,
268,진도군,20180627,24.2,67.5,
268,진도군,20180628,23.6,61,
268,진도군,20180629,23.8,,
268,진도군,20180630,23,49.5,
268,진도군,20180701,25.4,35.5,
268,진도군,20180702,26.1,6,
268,진도군,20180703,26,0.1,
268,진도군,20180704,25.2,,
268,진도군,20180705,24.9,3,
268,진도군,20180706,23.7,8,
268,진도군,20180707,22.6,,
268,진도군,20180708,22.6,,
268,진도군,20180709,24.4,,
268,진도군,20180710,26.1,,
268,진도군,20180711,27.5,,
268,진도군,20180712,27.2,,
268,진도군,20180713,27.3,,
268,진도군,20180714,26.7,,
268,진도군,20180715,26.4,,
268,진도군,20180716,27,,
268,진도군,20180717,27.1,,
268,진도군,20180718,26.7,,
268,진도군,20180719,26.5,,
268,진도군,20180720,27.5,,
268,진도군,20180721,29,,
268,진도군,20180722,28.9,,
268,진도군,20180723,28.7,,
268,진도군,20180724,28.3,,
268,진도군,20180725,28.5,,
268,진도군,20180726,27.8,,
268,진도군,20180727,28.6,,
268,진도군,20180728,28.5,,
268,진도군,20180729,28.7,,
268,진도군,20180730,27.7,,
268,진도군,20180731,28.2,,
268,진도군,20180801,28.7,,
268,진도군,20180802,29.5,,
268,진도군,20180803,28.7,0.5,
268,진도군,20180804,28.8,,
268,진도군,20180805,28.4,,
268,진도군,20180806,28.6,,
268,진도군,20180807,28.2,,
268,진도군,20180808,28.7,,
268,진도군,20180809,28.6,,
268,진도군,20180810,27.9,4,
268,진도군,20180811,28,1.5,
268,진도군,20180812,28.8,,
268,진도군,20180813,29.5,,
268,진도군,20180814,28.5,,
268,진도군,20180815,29.1,,
268,진도군,20180816,28.8,0.1,
268,진도군,20180817,26.7,1,
268,진도군,20180818,25.4,,
268,진도군,20180819,26.3,,
268,진도군,20180820,27.5,,
268,진도군,20180821,27.5,,
268,진도군,20180822,29.4,0.3,
268,진도군,20180823,25.7,305,
268,진도군,20180824,25.5,1,
268,진도군,20180825,24.3,0.3,
